x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,label
262.6699677,257.3049011,-3.6492E-07,257.4175415,247.1090546,0.004223748,246.8829575,241.7168274,0.005797719,236.3845367,241.4539185,0.005872338,230.0766678,243.947525,0.005235728,238.1301498,233.2341919,0.000153842,225.6527939,247.2492065,-0.003813288,226.0569305,255.8663635,-0.006753445,228.1598969,260.3841553,-0.007798527,236.8824921,238.0523376,-0.004955348,226.113327,252.7126617,-0.010096951,229.4316788,260.4510803,-0.014107873,232.6413574,265.2489624,-0.016853549,236.2930527,244.3176575,-0.009528437,225.1112595,256.2142029,-0.016193958,227.3901443,263.6491394,-0.020701401,230.7544098,268.069519,-0.023142019,236.5125275,251.7061768,-0.013198351,223.3450928,255.4906921,-0.020449724,215.0433655,258.1147461,-0.024577361,208.0063934,259.6086731,-0.026722362,call
83.35177803,346.0591125,-2.34527E-07,81.92503738,328.5623474,-0.011102467,90.08013153,311.5352478,-0.021096129,95.64182281,298.8606262,-0.0292519,94.4703598,287.2987671,-0.03474338,108.3497086,308.0937195,-0.022331594,126.623394,317.461853,-0.033494521,120.4366951,321.9138794,-0.039810833,113.5162926,320.9679565,-0.044989772,112.661499,318.3789368,-0.024037803,126.4707413,326.5800476,-0.032437857,119.0465813,329.8160706,-0.033810802,114.1834946,329.2301941,-0.036610216,115.0330238,330.2217407,-0.026222464,129.4012756,335.1433411,-0.034942362,123.7975159,337.128418,-0.030080518,118.5613861,336.6479492,-0.02756069,116.245079,341.9477844,-0.029042222,132.4516182,341.7944336,-0.038174968,142.7735825,342.8292542,-0.037336029,152.4316978,343.0159912,-0.036135815,call
187.7569771,260.2354921,-2.41731E-07,195.4605789,241.5060351,-0.000183907,207.2595291,223.6743394,-0.009687078,215.4136276,209.0353602,-0.020579811,214.7728729,196.6095882,-0.029496746,227.1540527,225.5768517,-0.016897459,245.390419,237.862886,-0.023851449,239.4041519,244.4087423,-0.02424122,232.0238113,244.8651985,-0.024214726,229.5819855,237.3290237,-0.025532641,245.6738434,248.8094105,-0.029863784,238.7690048,254.6380942,-0.027648918,231.8528824,253.9955758,-0.027499918,230.3250732,251.0936636,-0.033584073,246.59198,260.4903529,-0.038897868,240.0983047,265.2800851,-0.033344094,233.0254669,264.5054734,-0.03023408,230.100174,265.5841752,-0.041255809,250.3010101,268.6029382,-0.044068202,262.4251328,271.2766376,-0.04046908,272.9899521,272.2722307,-0.038300533,call
114.976696,331.5942383,-1.23326E-07,114.5034943,320.5499573,-0.002823981,116.6366272,310.0809937,-0.008911486,117.6850662,301.874115,-0.015029242,116.7666092,294.9778137,-0.019514481,129.7770309,308.5011292,-0.010412964,139.6358185,310.1517334,-0.016496785,136.3974495,312.7457581,-0.020081859,131.8740807,313.2053223,-0.023151271,132.9631119,315.0395508,-0.014132706,141.7629318,315.9438477,-0.018308988,138.5368538,317.7239685,-0.019228058,134.9684944,319.0646362,-0.021386717,134.8447609,322.0397949,-0.017836606,143.293087,322.0259094,-0.02170743,140.6135674,323.3251953,-0.018406363,137.04356,324.4078064,-0.017291486,135.485836,329.0501099,-0.021803854,145.1954498,329.3575439,-0.027621944,151.0531998,329.7123413,-0.027863096,155.9903641,329.5488281,-0.027723176,call
188.7952881,141.7278671,-1.623E-07,188.5209045,127.947464,-0.002884109,191.9828796,111.0105629,-0.008115282,192.5525208,98.68769073,-0.01339691,188.239563,90.39428902,-0.017483277,202.8274841,110.8265877,-0.013007899,219.3903503,112.3921623,-0.019843314,215.7336578,117.4251137,-0.02240511,210.2297821,118.631218,-0.024262849,206.3397522,118.629364,-0.016028518,221.1556091,120.2112579,-0.021681592,217.2155609,124.3733368,-0.022350153,212.0649109,125.1862679,-0.023731284,209.8296661,126.9782639,-0.018825527,223.5951385,127.6962891,-0.023906643,219.6521149,130.9171944,-0.020977873,214.071228,131.5026283,-0.019323004,213.1058197,135.2932091,-0.021623058,226.6963959,132.2632484,-0.025112823,234.8317413,130.6841469,-0.024087425,241.5877686,128.4771881,-0.023486055,call
272.4549179,300.4780273,-1.5585E-07,268.6538315,289.4964905,-0.001183699,262.705101,277.1956787,-0.005392201,260.3037415,267.5202026,-0.01002841,263.4304733,260.0406189,-0.014982504,255.1728516,274.973877,-0.013123322,239.2896194,279.6178589,-0.019550925,242.1189423,283.6572876,-0.021583311,246.7698669,283.8965149,-0.023032567,253.8630295,281.1695251,-0.01772091,237.7844009,286.1477966,-0.023581959,240.8088913,289.3284912,-0.023671422,245.0122833,289.9212036,-0.025151059,252.4082108,288.7041626,-0.022248488,237.6355133,291.4412842,-0.029292531,238.6888275,294.8661194,-0.028501624,241.6690292,296.4246826,-0.028742947,251.6832733,296.6378479,-0.02660827,238.5654144,298.5172119,-0.033287089,232.6531219,300.1836548,-0.034928653,228.136322,300.5970459,-0.036322981,call
286.2327118,237.393692,-2.90121E-07,279.3112106,221.7100067,-0.003649214,268.6016922,209.6139526,-0.009611055,259.6866989,199.7349548,-0.016593752,257.7589417,189.2735596,-0.023497162,249.5140686,212.8722229,-0.011807668,238.4946671,224.2349548,-0.020829741,244.5485458,228.3524475,-0.026516873,250.8585434,227.0045471,-0.02912931,248.1121902,223.4349213,-0.016059818,240.4029922,234.3161774,-0.023911722,246.4605103,236.5997925,-0.027466111,251.7201462,234.7059174,-0.030352928,248.9426193,234.557724,-0.020305919,240.6264496,243.0892181,-0.030731631,246.4234314,244.598175,-0.03152813,252.7770309,242.1651001,-0.03091461,250.8003616,245.1082916,-0.024356043,235.8064499,249.757019,-0.031268109,226.3192749,253.6017761,-0.030819511,218.4993439,255.1851196,-0.029436434,call
114.9533272,259.8449321,-1.87688E-07,124.5774078,245.5035762,-0.003558483,141.2684326,233.3790675,-0.00958511,152.5569534,223.7311143,-0.01558127,155.7676163,213.4633175,-0.019130018,151.743576,236.3400365,-0.016064007,166.661499,250.0582861,-0.025012761,160.3725929,252.6843643,-0.028323943,154.3539276,250.31611,-0.030507507,150.5812912,246.5383949,-0.020591917,164.2680244,260.425009,-0.026559848,157.6102982,261.7800435,-0.025624558,151.6989212,259.5969886,-0.025958035,148.1551323,257.705075,-0.0249789,160.7624931,270.4985379,-0.029767876,154.5465431,270.7076646,-0.023805095,148.2895088,267.8956058,-0.020671379,144.8286324,268.7297536,-0.029778188,157.0189934,277.3705838,-0.034590557,163.2921066,283.4559076,-0.033232808,168.7229462,288.6353016,-0.032251153,call
178.488205,155.5934029,-1.19218E-07,181.8049164,150.0588112,0.001125963,186.0876617,145.4951019,-0.000281511,189.0051422,141.5266113,-0.00276064,189.3480225,137.5125618,-0.005140786,192.9355621,148.1245537,0.000299324,196.8969421,151.0509682,-0.003304977,194.566864,152.292984,-0.006143909,191.2949371,152.4424438,-0.007271366,193.4157867,152.4488297,-0.002314582,196.54599,155.3354301,-0.005002377,194.486145,156.27285,-0.00731715,191.6382599,156.293541,-0.008496944,193.2291718,156.9061775,-0.004918827,196.9311523,159.3388252,-0.007049114,195.6069794,160.2880554,-0.007247186,193.7210693,160.3503113,-0.006839996,192.5309601,161.1634026,-0.007380683,197.4880676,162.9908638,-0.007712964,200.3330688,163.9430466,-0.006301387,202.6009979,164.469223,-0.004960587,call
168.3056641,192.957962,-2.186E-07,175.2032318,179.4432335,0.001041815,187.1038361,168.0542679,-0.003637889,194.9597931,158.1212082,-0.009544484,196.458725,148.398674,-0.014510364,203.6043091,170.9469795,-0.004354019,213.9788666,182.0168381,-0.009601813,208.2682495,186.6278458,-0.013884665,201.5118713,185.9016266,-0.017472718,205.8108063,179.6218758,-0.010186003,215.8324738,188.6354713,-0.01423934,208.9961548,192.7387848,-0.016273724,202.9970551,192.42659,-0.018723844,206.0319366,190.0462189,-0.015656972,219.7497864,196.7283554,-0.020214209,213.8413086,200.6766586,-0.016652804,207.8459167,200.8120422,-0.014693896,203.8675232,200.8262558,-0.020926043,218.6907043,205.4547729,-0.025291644,227.2847137,209.8445435,-0.023055712,235.1062164,212.4176788,-0.021292211,call
